Dataset,FileName,Model,EmbK,TotEpoch,LearnRate,Epsilon,Alpha,Epoch,Top-K,Coverage,Coverage[%],Precision,Recall,MAR,nDCG,Novelty,ARP,APLT,ACLT,P_Pop,P_Tail,RSP,PC_Pop,PC_Tail,REO
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1300_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1300.0,50.0,2674.0,10.37,0.0016684192078513847,0.08342096039256923,0.008276568926177525,0.024375561624765396,6.559423044233516,366.7752665809886,0.015614752502239425,0.7807376251119679,0.00951640640985904,3.784086848868526e-05,0.992078733701096,0.14141956259224472,0.003192188526898883,0.9558516026229588
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1050_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1050.0,50.0,2378.0,9.22,0.0016434941776687305,0.08217470888343655,0.007908875276558418,0.02379479631781578,6.5127648900829085,374.8153756279931,0.014216614090431155,0.7108307045215563,0.009529922716993693,3.445261294235962e-05,0.9927956376127305,0.13933986314235877,0.0030983006290489154,0.9564962009195622
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1400_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1400.0,50.0,2794.0,10.84,0.0016816606301359193,0.08408303150679597,0.00829831341865458,0.02453261986374855,6.576537440680774,363.83812439147596,0.01612727343537031,0.8063636717685088,0.009511451685572353,3.9082914254413545e-05,0.9918155546486115,0.142492955856702,0.00328607642474885,0.9549170223821417
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_400_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,400.0,50.0,1568.0,6.08,0.0015835183237917203,0.07917591618958601,0.006111469655692111,0.021956533193588257,6.30449187918638,414.59303656969274,0.010463839233555334,0.523191961677766,0.009566202141937851,2.535811978236134e-05,0.9947124098498209,0.13464376761035823,0.002441085344099146,0.9643857757952277
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1375_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1375.0,50.0,2767.0,10.73,0.001673092651010632,0.0836546325505316,0.008312547020339987,0.02446446567773819,6.572212389411432,364.5969373369151,0.016011995170775527,0.8005997585387701,0.009512566122038052,3.880354833750202e-05,0.9918747677711909,0.14175499798738764,0.00328607642474885,0.9546876436476001
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_875_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,875.0,50.0,2164.0,8.39,0.0016185691474860772,0.08092845737430385,0.007664508599197231,0.023336369544267654,6.4738876384852855,381.66199244460205,0.013616076644467826,0.6808038322233906,0.009535728328581893,3.2997267523854295e-05,0.9931031008899904,0.13752851200858715,0.00262886113979908,0.9624870089850234
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1350_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1350.0,50.0,2740.0,10.63,0.0016660824862717609,0.08330412431358804,0.008275595292186017,0.024361370131373405,6.568265771975123,365.2612501460449,0.015872570783191275,0.7936285391595591,0.009513913987763457,3.84656665866428e-05,0.9919463698097204,0.14108412719710184,0.003379964322598817,0.9532068587142585
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_1175_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,1175.0,50.0,2518.0,9.77,0.0016497254352143944,0.08248627176071971,0.008189312775128875,0.024078186601400375,6.536194505762777,370.7594804689003,0.014983837675740956,0.7491918837870468,0.009522505690515904,3.631190637585865e-05,0.99240242718144,0.1398765597745874,0.0030983006290489154,0.9566595047506671
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_925_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,925.0,50.0,2226.0,8.64,0.0016349261985434437,0.08174630992717218,0.007732013889275252,0.0235699824988842,6.485016578233044,379.7094520387892,0.013671379055185617,0.6835689527592788,0.009535193700277403,3.313128765966996e-05,0.9930747988385766,0.1390044277472159,0.002534973241949113,0.964179963681729
yelp,bprmf_emb64_ep2000_lr0.005_XX_XX_XXep_200_best0_top100_rec.tsv,bprmf,64.0,2000.0,0.005,0.0,0.0,200.0,50.0,1223.0,4.74,0.0015258791914943334,0.07629395957471667,0.003907795933733543,0.01964719034731388,6.172424048307798,444.0704747439284,0.005640066986018623,0.2820033493009308,0.009612835284046438,1.366816624565122e-05,0.9971603051271463,0.13075271702670066,0.0009388789784996713,0.9857412468679839
